project,description,version,developers,url,year,licenses,license urls,dependency
Accompanist Drawable Painter library,Utilities for Jetpack Compose,0.32.0,Google,https://github.com/google/accompanist/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.accompanist:accompanist-drawablepainter:0.32.0
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.10.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.10.1,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity:1.10.1
Activity Compose,Compose integration with Activity,1.10.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.10.1,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity-compose:1.10.1
Activity Kotlin Extensions,Kotlin extensions for 'activity' artifact,1.10.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.10.1,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity-ktx:1.10.1
Android App Startup Runtime,Android App Startup Runtime,1.1.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/startup#1.1.1,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.startup:startup-runtime:1.1.1
Android Arch-Common,Android Arch-Common,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-common:2.2.0
Android Arch-Runtime,Android Arch-Runtime,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-runtime:2.2.0
Android Emoji2 Compat,Core library to enable emoji compatibility in Kitkat and newer devices to avoid the empty emoji characters.,1.3.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/emoji2#1.3.0,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.emoji2:emoji2:1.3.0
Android Emoji2 Compat view helpers,View helpers for Emoji2,1.3.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/emoji2#1.3.0,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.emoji2:emoji2-views-helper:1.3.0
Android Graphics Path,Query segment data for android.graphics.Path objects,1.0.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/graphics#1.0.1,2022,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.graphics:graphics-path:1.0.1
Android Navigation Hilt Extension,Android Navigation Hilt Extension,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/hilt#1.0.0,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.hilt:hilt-navigation:1.0.0
Android Resource Inspection - Annotations,Annotation processors for Android resource and layout inspection,1.0.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/resourceinspection#1.0.1,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.resourceinspection:resourceinspection-annotation:1.0.1
Android Support AnimatedVectorDrawable,Android Support AnimatedVectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable-animated:1.1.0
Android Support CardView v7,Android Support CardView v7,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cardview:cardview:1.0.0
Android Support Custom Tabs,Android Support Custom Tabs,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/browser#1.4.0,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.browser:browser:1.4.0
Android Support DynamicAnimation,Physics-based animation in support library, where the animations are driven by physics force. You can use this Animation library to create smooth and realistic animations.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.dynamicanimation:dynamicanimation:1.0.0
Android Support ExifInterface,Android Support ExifInterface,1.3.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/exifinterface#1.3.6,2016,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.exifinterface:exifinterface:1.3.6
Android Support Library Coordinator Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.coordinatorlayout:coordinatorlayout:1.1.0
Android Support Library core utils,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.legacy:legacy-support-core-utils:1.0.0
Android Support Library Cursor Adapter,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cursoradapter:cursoradapter:1.0.0
Android Support Library Custom View,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview:1.1.0
Android Support Library Document File,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.documentfile:documentfile:1.0.0
Android Support Library Drawer Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.1.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.drawerlayout:drawerlayout:1.1.1
